id,res1,res2,res3,res4,res5,answer
18789977,iron,metal,steel,wire,wood,metal
16842758,1,2,3,no,yes,yes
19775850,no,surfing,very,wet,yes,yes
13677039,2,neither,no,train,yes,no
00354634,pan,plate,plates,table,tray,countertop
05542021,2,don't know,no,unknown,yes,yes
19415913,neither,no,pictures,windows,yes,no
08105995,0,neither,no,oranges,yes,no
04676367,0,adults,neither,no,yes,no
01275976,daytime,indoors,out,outdoors,outside,outdoors
01166204,0,1,little,no,yes,no
0766772,0,1,2,no,yes,no
08860235,0,1,2,no,yes,yes
10373906,1,3,4,no,yes,yes
111051385,no,playing tennis,standing,tennis,yes,yes
05677299,both,cars,no,windows,yes,yes
10281172,adult,baby,child,no,yes,yes
07682516,bike,neither,no,skateboard,yes,no
14888082,0,1,2,no,yes,no
03977884,0,1,2,no,yes,yes
01769473,0,1,2,no,yes,no
06808264,0,1,2,no,yes,no
11952435,bridge,on road,road,street,water,street
17852974,picture,pictures,sign,signs,words,picture frame
16355655,0,no,on wall,wall,yes,no
18429857,hat,neither,no,nothing,yes,no
03794351,0,n,no,nowhere,yes,yes
19577038,benches,neither,no,table,yes,no
13584581,0,1,2,no,yes,yes
14983479,beef,no,rice,steak,yes,yes
00653461,baseball,baseball field,baseball game,field,stadium,field
0723321,0,2,n,no,yes,no
08354448,0,no,nowhere,unknown,yes,no
05191339,0,1,no,y,yes,no
13768774,1,glasses,neither,no,yes,no
14644583,0,neither,no,nowhere,yes,no
00881217,baby,boy,child,kid,person,boy
07752893,in,no,o,outside,yes,no
00517974,0,3,4,no,yes,no
16373879,both,no,rain,umbrellas,yes,yes
09439608,0,neither,no,nobody,yes,no
12813280,door,neither,no,window,yes,yes
02819773,0,1,2,no,yes,yes
19899933,neither,no,nothing,paper,yes,no
121020079,cabinet,desk,dresser,table,wood,dresser
10461890,neither,no,sign,signs,yes,no
11541352,1,2,background,no,yes,no
031060110,helmet,no,poles,skis,yes,no
17805151,n,no,open,unknown,yes,no
14673260,0,1,neither,no,yes,no
11703924,0,1,2,no,yes,yes
051055846,boxes,neither,no,plates,yes,no
07805099,dog,n,no,no cat,yes,no
15244911,flower,flowers,neither,no,yes,no
18780792,chair,desk,no,table,yes,table
0463590,neither,no,skis,surfboard,surfboards,no
16800532,both,fork,neither,no,yes,yes
13953333,1,2,motorcycle,no,yes,no
091018805,1,bench,no,right,yes,yes
00405615,0,1,2,no,yes,no
0275780,0,n,no,o,yes,no
16437319,0,neither,no,nowhere,yes,no
